Object Name,Object ID,Property ID,Index,Value,Description
PID_Heat,loop:2,presentValue,,79.54,Property:Unknown Property:loop:2 [description]
PID_DischAir,loop:4,presentValue,,100.00,Property:Unknown Property:loop:4 [description]
Schedule 1,schedule:1,presentValue,,NULL:NULL,Property:Unknown Property:schedule:1 [description]
OccupancyCmd,multiStateValue:1,presentValue,,1,Property:Unknown Property:multiStateValue:1 [description]
HVACModeCmd,multiStateValue:2,presentValue,,1,Property:Unknown Property:multiStateValue:2 [description]
SensorTempUnits,multiStateValue:11,presentValue,,2,Property:Unknown Property:multiStateValue:11 [description]
SensorFlowUnits,multiStateValue:12,presentValue,,2,Property:Unknown Property:multiStateValue:12 [description]
HeatPriority,multiStateValue:13,presentValue,,3,Property:Unknown Property:multiStateValue:13 [description]
HVACModeStatus,multiStateValue:14,presentValue,,2,Property:Unknown Property:multiStateValue:14 [description]
OccupancyStatus,multiStateValue:15,presentValue,,1,Property:Unknown Property:multiStateValue:15 [description]
SmartVueLock,multiStateValue:19,presentValue,,1,Property:Unknown Property:multiStateValue:19 [description]
EcoVue,multiStateValue:31,presentValue,,4,Property:Unknown Property:multiStateValue:31 [description]
BalancingOvr,multiStateValue:39,presentValue,,1,Property:Unknown Property:multiStateValue:39 [description]
