Object Name,Object ID,Property ID,Index,Value,Description
A1 Suction Pressure,analogInput:48,presentValue,,0.00,A1 Suction Pressure
A2 Suction Pressure,analogInput:49,presentValue,,0.00,A2 Suction Pressure
A1 Head Pressure,analogInput:50,presentValue,,0.00,A1 Head Pressure
A2 Head Pressure,analogInput:51,presentValue,,0.00,A2 Head Pressure
A1 Saturation Temperature,analogInput:52,presentValue,,0.00,A1 Saturation Temperature
A2 Saturation Temperature,analogInput:53,presentValue,,0.00,A2 Saturation Temperature
A1 Suction Line Temperature,analogInput:54,presentValue,,0.00,A1 Suction Line Temperature
A2 Suction Line Temperature,analogInput:55,presentValue,,0.00,A2 Suction Line Temperature
A1 Condenser Suction Temp (Heat Pump),analogInput:56,presentValue,,0.00,A1 Condenser Suction Temp (Heat Pump)
A2 Condenser Suction Temp (Heat Pump),analogInput:57,presentValue,,0.00,A2 Condenser Suction Temp (Heat Pump)
A1 Superheat Temperature,analogInput:58,presentValue,,0.00,A1 Superheat Temperature
A2 Superheat Temperature,analogInput:59,presentValue,,0.00,A2 Superheat Temperature
Condenser A1 Superheat (Heat Pump),analogInput:60,presentValue,,0.00,Condenser A1 Superheat (Heat Pump)
Condenser A2 Superheat (Heat Pump),analogInput:61,presentValue,,0.00,Condenser A2 Superheat (Heat Pump)
A1 Expansion Valve Position,analogInput:62,presentValue,,0.00,A1 Expansion Valve Position
A2 Expansion Valve Position,analogInput:63,presentValue,,0.00,A2 Expansion Valve Position
Condenser A1 Expansion Valve Position,analogInput:64,presentValue,,0.00,Condenser A1 Expansion Valve Position
Condenser A2 Expansion Valve Position,analogInput:65,presentValue,,0.00,Condenser A2 Expansion Valve Position
A1 Discharge Temperature,analogInput:66,presentValue,,0.00,A1 Discharge Temperature
A2 Discharge Temperature,analogInput:67,presentValue,,0.00,A2 Discharge Temperature
A1 Leaving Water Temp,analogInput:68,presentValue,,0.00,A1 Leaving Water Temp
B1 Compressor Signal,analogInput:69,presentValue,,0.00,B1 Compressor Signal
B2 Compressor Signal,analogInput:70,presentValue,,0.00,B2 Compressor Signal
B1 Condenser Signal,analogInput:71,presentValue,,0.00,B1 Condenser Signal
B2 Condenser Signal,analogInput:72,presentValue,,0.00,B2 Condenser Signal
B1 Suction Pressure,analogInput:73,presentValue,,0.00,B1 Suction Pressure
B2 Suction Pressure,analogInput:74,presentValue,,0.00,B2 Suction Pressure
B1 Head Pressure,analogInput:75,presentValue,,0.00,B1 Head Pressure
B2 Head Pressure,analogInput:76,presentValue,,0.00,B2 Head Pressure
B1 Saturation Temperature,analogInput:77,presentValue,,0.00,B1 Saturation Temperature
B2 Saturation Temperature,analogInput:78,presentValue,,0.00,B2 Saturation Temperature
B1 Suction Line Temperature,analogInput:79,presentValue,,0.00,B1 Suction Line Temperature
B2 Suction Line Temperature,analogInput:80,presentValue,,0.00,B2 Suction Line Temperature
B1 Condenser Suction Temp (Heat Pump),analogInput:81,presentValue,,0.00,B1 Condenser Suction Temp (Heat Pump)
B2 Condenser Suction Temp (Heat Pump),analogInput:82,presentValue,,0.00,B2 Condenser Suction Temp (Heat Pump)
B1 Superheat Temperature,analogInput:83,presentValue,,0.00,B1 Superheat Temperature
B2 Superheat Temperature,analogInput:84,presentValue,,0.00,B2 Superheat Temperature
Condenser B1 Superheat (Heat Pump),analogInput:85,presentValue,,0.00,Condenser B1 Superheat (Heat Pump)
Condenser B2 Superheat (Heat Pump),analogInput:86,presentValue,,0.00,Condenser B2 Superheat (Heat Pump)
B1 Expansion Valve Position,analogInput:87,presentValue,,0.00,B1 Expansion Valve Position
B2 Expansion Valve Position,analogInput:88,presentValue,,0.00,B2 Expansion Valve Position
Condenser B1 Expansion Valve Position,analogInput:89,presentValue,,0.00,Condenser B1 Expansion Valve Position
Condenser B2 Expansion Valve Position,analogInput:90,presentValue,,0.00,Condenser B2 Expansion Valve Position
B1 Discharge Temperature,analogInput:91,presentValue,,0.00,B1 Discharge Temperature
B2 Discharge Temperature,analogInput:92,presentValue,,0.00,B2 Discharge Temperature
B1 Leaving Water Temp,analogInput:93,presentValue,,0.00,B1 Leaving Water Temp
C1 Compressor Signal,analogInput:94,presentValue,,0.00,C1 Compressor Signal
C2 Compressor Signal,analogInput:95,presentValue,,0.00,C2 Compressor Signal
C1 Condenser Signal,analogInput:96,presentValue,,0.00,C1 Condenser Signal
C2 Condenser Signal,analogInput:97,presentValue,,0.00,C2 Condenser Signal
C1 Suction Pressure,analogInput:98,presentValue,,0.00,C1 Suction Pressure
C2 Suction Pressure,analogInput:99,presentValue,,0.00,C2 Suction Pressure
C1 Head Pressure,analogInput:100,presentValue,,0.00,C1 Head Pressure
C2 Head Pressure,analogInput:101,presentValue,,0.00,C2 Head Pressure
C1 Saturation Temperature,analogInput:102,presentValue,,0.00,C1 Saturation Temperature
C2 Saturation Temperature,analogInput:103,presentValue,,0.00,C2 Saturation Temperature
C1 Suction Line Temperature,analogInput:104,presentValue,,0.00,C1 Suction Line Temperature
C2 Suction Line Temperature,analogInput:105,presentValue,,0.00,C2 Suction Line Temperature
C1 Condenser Suction Temp (Heat Pump),analogInput:106,presentValue,,0.00,C1 Condenser Suction Temp (Heat Pump)
C2 Condenser Suction Temp (Heat Pump),analogInput:107,presentValue,,0.00,C2 Condenser Suction Temp (Heat Pump)
C1 Superheat Temperature,analogInput:108,presentValue,,0.00,C1 Superheat Temperature
C2 Superheat Temperature,analogInput:109,presentValue,,0.00,C2 Superheat Temperature
Condenser C1 Superheat (Heat Pump),analogInput:110,presentValue,,0.00,Condenser C1 Superheat (Heat Pump)
Condenser C2 Superheat (Heat Pump),analogInput:111,presentValue,,0.00,Condenser C2 Superheat (Heat Pump)
C1 Expansion Valve Position,analogInput:112,presentValue,,0.00,C1 Expansion Valve Position
C2 Expansion Valve Position,analogInput:113,presentValue,,0.00,C2 Expansion Valve Position
Condenser C1 Expansion Valve Position,analogInput:114,presentValue,,0.00,Condenser C1 Expansion Valve Position
Condenser C2 Expansion Valve Position,analogInput:115,presentValue,,0.00,Condenser C2 Expansion Valve Position
C1 Discharge Temperature,analogInput:116,presentValue,,0.00,C1 Discharge Temperature
C2 Discharge Temperature,analogInput:117,presentValue,,0.00,C2 Discharge Temperature
C1 Leaving Water Temp,analogInput:118,presentValue,,0.00,C1 Leaving Water Temp
D1 Compressor Signal,analogInput:119,presentValue,,0.00,D1 Compressor Signal
D2 Compressor Signal,analogInput:120,presentValue,,0.00,D2 Compressor Signal
D1 Condenser Signal,analogInput:121,presentValue,,0.00,D1 Condenser Signal
D2 Condenser Signal,analogInput:122,presentValue,,0.00,D2 Condenser Signal
D1 Suction Pressure,analogInput:123,presentValue,,0.00,D1 Suction Pressure
D2 Suction Pressure,analogInput:124,presentValue,,0.00,D2 Suction Pressure
D1 Head Pressure,analogInput:125,presentValue,,0.00,D1 Head Pressure
