Object Name,Object ID,Property ID,Index,Value,Description
Bad Exhaust Airflow Sensor,binaryInput:19,presentValue,,Inactive,Bad Exhaust Airflow Sensor
Bad Supply Airflow Sensor,binaryInput:20,presentValue,,Inactive,Bad Supply Airflow Sensor
Bad Return Airflow Sensor,binaryInput:21,presentValue,,Inactive,Bad Return Airflow Sensor
Mechanical Cooling Alarm,binaryInput:22,presentValue,,Inactive,Mechanical Cooling Alarm
Mechanical Heating Alarm,binaryInput:23,presentValue,,Inactive,Mechanical Heating Alarm
Fan Proving Alarm,binaryInput:24,presentValue,,Inactive,Fan Proving Alarm
Dirty Filter Alarm,binaryInput:25,presentValue,,Inactive,Dirty Filter Alarm
Emergency Shutdown Alarm,binaryInput:26,presentValue,,Inactive,Emergency Shutdown Alarm
Relay Runtime Warning,binaryInput:27,presentValue,,Inactive,Relay Runtime Warning
Economizer Missing Alarm,binaryInput:28,presentValue,,Inactive,Economizer Missing Alarm
Economizer Title 24 Failure A,binaryInput:29,presentValue,,Inactive,Economizer Title 24 Failure A
Economizer Title 24 Failure B,binaryInput:30,presentValue,,Inactive,Economizer Title 24 Failure B
Economizer Title 24 Failure C,binaryInput:31,presentValue,,Inactive,Economizer Title 24 Failure C
Economizer Title 24 Failure D,binaryInput:32,presentValue,,Inactive,Economizer Title 24 Failure D
Economizer Title 24 Failure E,binaryInput:33,presentValue,,Inactive,Economizer Title 24 Failure E
High Supply Temp Cutoff,binaryInput:34,presentValue,,Inactive,High Supply Temp Cutoff
Low Supply Temp Cutoff,binaryInput:35,presentValue,,Inactive,Low Supply Temp Cutoff
High Control Mode Alarm,binaryInput:36,presentValue,,Inactive,High Control Mode Alarm
Low Control Mode Alarm,binaryInput:37,presentValue,,Inactive,Low Control Mode Alarm
Missing Refrigeration Module #1,binaryInput:38,presentValue,,Inactive,Missing Refrigeration Module #1
Missing Refrigeration Module #2,binaryInput:39,presentValue,,Inactive,Missing Refrigeration Module #2
Missing Refrigeration Module #3,binaryInput:40,presentValue,,Inactive,Missing Refrigeration Module #3
Missing Refrigeration Module #4,binaryInput:41,presentValue,,Inactive,Missing Refrigeration Module #4
Missing Preheater Board,binaryInput:42,presentValue,,Inactive,Missing Preheater Board
Missing Reheat Board,binaryInput:43,presentValue,,Inactive,Missing Reheat Board
Missing Mod Gas Board,binaryInput:44,presentValue,,Inactive,Missing Mod Gas Board
Missing EM1 Board,binaryInput:45,presentValue,,Inactive,Missing EM1 Board
Missing 12 Relay Expansion Board,binaryInput:46,presentValue,,Inactive,Missing 12 Relay Expansion Board
On Board Relay 1 Main Fan,binaryInput:47,presentValue,,Active,On Board Relay 1 Main Fan
On Board Relay 2,binaryInput:48,presentValue,,Inactive,On Board Relay 2
On Board Relay 3,binaryInput:49,presentValue,,Inactive,On Board Relay 3
On Board Relay 4,binaryInput:50,presentValue,,Inactive,On Board Relay 4
On Board Relay 5,binaryInput:51,presentValue,,Inactive,On Board Relay 5
On Board Relay 6,binaryInput:52,presentValue,,Inactive,On Board Relay 6
On Board Relay 7,binaryInput:53,presentValue,,Inactive,On Board Relay 7
On Board Relay 8,binaryInput:54,presentValue,,Inactive,On Board Relay 8
Expansion Board EM1 Relay 1,binaryInput:55,presentValue,,Inactive,Expansion Board EM1 Relay 1
Expansion Board EM1 Relay 2,binaryInput:56,presentValue,,Inactive,Expansion Board EM1 Relay 2
Expansion Board EM1 Relay 3,binaryInput:57,presentValue,,Inactive,Expansion Board EM1 Relay 3
Expansion Board EM1 Relay 4,binaryInput:58,presentValue,,Inactive,Expansion Board EM1 Relay 4
Expansion Board EM1 Relay 5,binaryInput:59,presentValue,,Inactive,Expansion Board EM1 Relay 5
12 Relay Expansion Board Relay 1,binaryInput:60,presentValue,,Inactive,12 Relay Expansion Board Relay 1
12 Relay Expansion Board Relay 2,binaryInput:61,presentValue,,Inactive,12 Relay Expansion Board Relay 2
12 Relay Expansion Board Relay 3,binaryInput:62,presentValue,,Inactive,12 Relay Expansion Board Relay 3
12 Relay Expansion Board Relay 4,binaryInput:63,presentValue,,Inactive,12 Relay Expansion Board Relay 4
12 Relay Expansion Board Relay 5,binaryInput:64,presentValue,,Inactive,12 Relay Expansion Board Relay 5
12 Relay Expansion Board Relay 6,binaryInput:65,presentValue,,Inactive,12 Relay Expansion Board Relay 6
12 Relay Expansion Board Relay 7,binaryInput:66,presentValue,,Inactive,12 Relay Expansion Board Relay 7
12 Relay Expansion Board Relay 8,binaryInput:67,presentValue,,Inactive,12 Relay Expansion Board Relay 8
12 Relay Expansion Board Relay 9,binaryInput:68,presentValue,,Inactive,12 Relay Expansion Board Relay 9
12 Relay Expansion Board Relay 10,binaryInput:69,presentValue,,Inactive,12 Relay Expansion Board Relay 10
12 Relay Expansion Board Relay 11,binaryInput:70,presentValue,,Inactive,12 Relay Expansion Board Relay 11
12 Relay Expansion Board Relay 12,binaryInput:71,presentValue,,Inactive,12 Relay Expansion Board Relay 12
Preheater Enable Status,binaryInput:72,presentValue,,Inactive,Preheater Enable Status
Preheater Emergency Shutdown,binaryInput:73,presentValue,,Inactive,Preheater Emergency Shutdown
Preheater Spare Binary Input #3,binaryInput:74,presentValue,,Inactive,Preheater Spare Binary Input #3
MODGAS Enable Status,binaryInput:75,presentValue,,Active,MODGAS Enable Status
MHGR Enable Status,binaryInput:76,presentValue,,Inactive,MHGR Enable Status
Preheater Alarm,binaryInput:125,presentValue,,Inactive,Preheater Alarm
Return Fan Proving Alarm,binaryInput:126,presentValue,,Inactive,Return Fan Proving Alarm
Return Fan Proving Status,binaryInput:136,presentValue,,Inactive,Return Fan Proving Status
IAQ Mode Active,binaryInput:137,presentValue,,Inactive,IAQ Mode Active
Heat Wheel Defrost Active,binaryInput:138,presentValue,,Inactive,Heat Wheel Defrost Active
Direct Fire Status,binaryInput:139,presentValue,,Inactive,Direct Fire Status
Direct Fire Alarm Status,binaryInput:140,presentValue,,Inactive,Direct Fire Alarm Status
Temp Rise Warning,binaryInput:141,presentValue,,Inactive,Temp Rise Warning
Temp Rise Alarm,binaryInput:142,presentValue,,Inactive,Temp Rise Alarm
Temp Rise Lockout,binaryInput:143,presentValue,,Inactive,Temp Rise Lockout
HighCO2 Rise Warning,binaryInput:144,presentValue,,Inactive,HighCO2 Rise Warning
HighCO2 Rise Alarm,binaryInput:145,presentValue,,Inactive,HighCO2 Rise Alarm
HighCO2 Rise Lockout,binaryInput:146,presentValue,,Inactive,HighCO2 Rise Lockout
Ignition Lockout,binaryInput:147,presentValue,,Inactive,Ignition Lockout
DirectFire Status Lockout,binaryInput:148,presentValue,,Inactive,DirectFire Status Lockout
Direct Fire Setpoint Override,binaryInput:149,presentValue,,Inactive,Direct Fire Setpoint Override
Fan Array Failure,binaryInput:150,presentValue,,Inactive,Fan Array Failure
A1 Compressor Enable,binaryInput:77,presentValue,,Inactive,A1 Compressor Enable
A2 Compressor Enable,binaryInput:78,presentValue,,Inactive,A2 Compressor Enable
A1 Compressor Alarms,binaryInput:79,presentValue,,Inactive,A1 Compressor Alarms
A2 Compressor Alarms,binaryInput:80,presentValue,,Inactive,A2 Compressor Alarms
A1-2 Defrost Switch,binaryInput:81,presentValue,,Inactive,A1-2 Defrost Switch
A1-2 Water Proof of Flow,binaryInput:82,presentValue,,Inactive,A1-2 Water Proof of Flow
A1-4 Emergency Shutdown (RSM-D),binaryInput:83,presentValue,,Inactive,A1-4 Emergency Shutdown (RSM-D)
Refrigeration Module 1 Relay 1,binaryInput:84,presentValue,,Inactive,Refrigeration Module 1 Relay 1
Refrigeration Module 1 Relay 2,binaryInput:85,presentValue,,Inactive,Refrigeration Module 1 Relay 2
Refrigeration Module 1 Relay 3,binaryInput:86,presentValue,,Inactive,Refrigeration Module 1 Relay 3
Refrigeration Module 1 Relay 4,binaryInput:87,presentValue,,Inactive,Refrigeration Module 1 Relay 4
Refrigeration Module 1 Relay 5,binaryInput:88,presentValue,,Inactive,Refrigeration Module 1 Relay 5
B1 Compressor Enable,binaryInput:89,presentValue,,Inactive,B1 Compressor Enable
B2 Compressor Enable,binaryInput:90,presentValue,,Inactive,B2 Compressor Enable
B1 Compressor Alarms,binaryInput:91,presentValue,,Inactive,B1 Compressor Alarms
B2 Compressor Alarms,binaryInput:92,presentValue,,Inactive,B2 Compressor Alarms
B1-2 Defrost Switch,binaryInput:93,presentValue,,Inactive,B1-2 Defrost Switch
B1-2 Water Proof of Flow,binaryInput:94,presentValue,,Inactive,B1-2 Water Proof of Flow
B1-4 Emergency Shutdown (RSM-D),binaryInput:95,presentValue,,Inactive,B1-4 Emergency Shutdown (RSM-D)
Refrigeration Module 2 Relay 1,binaryInput:96,presentValue,,Inactive,Refrigeration Module 2 Relay 1
Refrigeration Module 2 Relay 2,binaryInput:97,presentValue,,Inactive,Refrigeration Module 2 Relay 2
Refrigeration Module 2 Relay 3,binaryInput:98,presentValue,,Inactive,Refrigeration Module 2 Relay 3
Refrigeration Module 2 Relay 4,binaryInput:99,presentValue,,Inactive,Refrigeration Module 2 Relay 4
Refrigeration Module 2 Relay 5,binaryInput:100,presentValue,,Inactive,Refrigeration Module 2 Relay 5
C1 Compressor Enable,binaryInput:101,presentValue,,Inactive,C1 Compressor Enable
C2 Compressor Enable,binaryInput:102,presentValue,,Inactive,C2 Compressor Enable
C1 Compressor Alarms,binaryInput:103,presentValue,,Inactive,C1 Compressor Alarms
C2 Compressor Alarms,binaryInput:104,presentValue,,Inactive,C2 Compressor Alarms
C1-2 Defrost Switch,binaryInput:105,presentValue,,Inactive,C1-2 Defrost Switch
C1-2 Water Proof of Flow,binaryInput:106,presentValue,,Inactive,C1-2 Water Proof of Flow
C1-4 Emergency Shutdown (RSM-D),binaryInput:107,presentValue,,Inactive,C1-4 Emergency Shutdown (RSM-D)
Refrigeration Module 3 Relay 1,binaryInput:108,presentValue,,Inactive,Refrigeration Module 3 Relay 1
Refrigeration Module 3 Relay 2,binaryInput:109,presentValue,,Inactive,Refrigeration Module 3 Relay 2
Refrigeration Module 3 Relay 3,binaryInput:110,presentValue,,Inactive,Refrigeration Module 3 Relay 3
Refrigeration Module 3 Relay 4,binaryInput:111,presentValue,,Inactive,Refrigeration Module 3 Relay 4
Refrigeration Module 3 Relay 5,binaryInput:112,presentValue,,Inactive,Refrigeration Module 3 Relay 5
D1 Compressor Enable,binaryInput:113,presentValue,,Inactive,D1 Compressor Enable
D2 Compressor Enable,binaryInput:114,presentValue,,Inactive,D2 Compressor Enable
D1 Compressor Alarms,binaryInput:115,presentValue,,Inactive,D1 Compressor Alarms
D2 Compressor Alarms,binaryInput:116,presentValue,,Inactive,D2 Compressor Alarms
D1-2 Defrost Switch,binaryInput:117,presentValue,,Inactive,D1-2 Defrost Switch
D1-2 Water Proof of Flow,binaryInput:118,presentValue,,Inactive,D1-2 Water Proof of Flow
D1-4 Emergency Shutdown (RSM-D),binaryInput:119,presentValue,,Inactive,D1-4 Emergency Shutdown (RSM-D)
Refrigeration Module 4 Relay 1,binaryInput:120,presentValue,,Inactive,Refrigeration Module 4 Relay 1
Refrigeration Module 4 Relay 2,binaryInput:121,presentValue,,Inactive,Refrigeration Module 4 Relay 2
Refrigeration Module 4 Relay 3,binaryInput:122,presentValue,,Inactive,Refrigeration Module 4 Relay 3
Refrigeration Module 4 Relay 4,binaryInput:123,presentValue,,Inactive,Refrigeration Module 4 Relay 4
Refrigeration Module 4 Relay 5,binaryInput:124,presentValue,,Inactive,Refrigeration Module 4 Relay 5
